商品名称,商品分类,商品品牌,cluster_similarity
阿迪达斯三叶草 男款运动600蓬保暖鸭绒羽绒服SPORTY DOWN HS9466,运动户外-运动服/休闲服装-运动羽绒服,adidas/阿迪达斯,1
「增嗨鞋」阿迪达斯三叶草男运动复古老爹鞋adidas HAIWEE EG9571,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女款「冰蓝」休闲篮球鞋adidas EQT BASK FX3775,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男款舒适百搭经典复古老爹鞋adidas OZELIA GX3268,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款休闲中帮篮球板鞋adidas DROP STEP IF2574,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「波波鞋」阿迪达斯官方 男女款厚底休闲运动老爹鞋OZWAVE ID3573,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「寻光者」阿迪达斯官方 男女款网面运动鞋 SPIRITAIN 2.0 JI2835,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方男款轻运动宽松夹克外套adidas M FI 3BAR WB HF4852,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
「泡泡鞋」阿迪达斯官方三叶草男女经典运动鞋HI-TAIL 2.0 JR2703,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「泡泡鞋」阿迪达斯三叶草 男女休闲跑步鞋adidas HI-TAIL ID0537,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男款居家运动连帽套头衫 Big Trfl Hoodie H09354,运动户外-运动服/休闲服装-运动卫衣/套头衫,adidas/阿迪达斯,1
阿迪达斯官方 男新款篮球运动板鞋 adidas MIDCITY MID IF6666,运动户外-运动鞋-篮球鞋,adidas/阿迪达斯,0
「寻光者」阿迪达斯官方 男女款网面运动鞋 SPIRITAIN 2.0 JH8024,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
